Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,152,"Chile",0000,"World",01,"Imports",ICT00,"Total ICT goods",10.19168,
2000,152,"Chile",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.1647,
2000,1520,"Developed economies: Americas",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.90066,
2000,1520,"Developed economies: Americas",0000,"World",02,"Exports",ICT00,"Total ICT goods",16.77162,
2000,1520,"Developed economies: Americas",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",38.71673,
2000,1520,"Developed economies: Americas",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",42.25976,
2000,1530,"Developed economies: Asia",0000,"World",01,"Imports",ICT00,"Total ICT goods",17.56781,
2000,1530,"Developed economies: Asia",0000,"World",02,"Exports",ICT00,"Total ICT goods",25.2257,
2000,1540,"Developed economies: Europe",0000,"World",01,"Imports",ICT00,"Total ICT goods",12.62903,
2000,1540,"Developed economies: Europe",0000,"World",02,"Exports",ICT00,"Total ICT goods",10.3667,
2000,1540,"Developed economies: Europe",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",5.59201,
2000,1540,"Developed economies: Europe",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",12.39396,
2000,1550,"Developed economies: Oceania",0000,"World",01,"Imports",ICT00,"Total ICT goods",14.53824,
2000,1550,"Developed economies: Oceania",0000,"World",02,"Exports",ICT00,"Total ICT goods",2.68356,
2000,1550,"Developed economies: Oceania",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",15.49739,
2000,1550,"Developed economies: Oceania",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",5.35596,
2000,156,"China",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.19336,
2000,156,"China",0000,"World",02,"Exports",ICT00,"Total ICT goods",17.71036,
2000,156,"China",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",39.51177,
2000,1560,"Developed economies: Asia and Oceania",0000,"World",01,"Imports",ICT00,"Total ICT goods",17.17635,
2000,1560,"Developed economies: Asia and Oceania",0000,"World",02,"Exports",ICT00,"Total ICT goods",22.93998,
2000,1560,"Developed economies: Asia and Oceania",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",15.49739,
2000,1560,"Developed economies: Asia and Oceania",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",5.35596,
2000,158,"China, Taiwan Province of",0000,"World",01,"Imports",ICT00,"Total ICT goods",27.70633,
2000,158,"China, Taiwan Province of",0000,"World",02,"Exports",ICT00,"Total ICT goods",42.38822,
2000,1600,"Developing economies excluding China",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.44013,
2000,1600,"Developing economies excluding China",0000,"World",02,"Exports",ICT00,"Total ICT goods",21.69992,
2000,1600,"Developing economies excluding China",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.43902,
2000,1600,"Developing economies excluding China",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",40.26527,
2000,1601,"Developing economies excluding LDCs",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.68199,
2000,1601,"Developing economies excluding LDCs",0000,"World",02,"Exports",ICT00,"Total ICT goods",21.33487,
2000,1601,"Developing economies excluding LDCs",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.47041,
2000,1601,"Developing economies excluding LDCs",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",40.1177,
2000,1610,"LDCs (Least developed countries)",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.41028,
2000,1610,"LDCs (Least developed countries)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.24028,
2000,1610,"LDCs (Least developed countries)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.24793,
2000,1611,"LDCs: Africa and Haiti",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.97436,
2000,1611,"LDCs: Africa and Haiti",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.39033,
2000,1611,"LDCs: Africa and Haiti",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.24793,
2000,1612,"LDCs: Asia",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.60102,
2000,1612,"LDCs: Asia",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.05773,
2000,1613,"LDCs: Islands",0000,"World",01,"Imports",ICT00,"Total ICT goods",1.73634,
2000,1613,"LDCs: Islands",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.03301,
2000,1614,"LDCs: Africa",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.97436,
2000,1614,"LDCs: Africa",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.39033,
2000,1614,"LDCs: Africa",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.24793,
2000,1615,"LDCs: Islands and Haiti",0000,"World",01,"Imports",ICT00,"Total ICT goods",1.73634,
2000,1615,"LDCs: Islands and Haiti",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.03301,
2000,1620,"LLDCs (Landlocked developing countries)",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.44625,
2000,1620,"LLDCs (Landlocked developing countries)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.23839,
2000,1620,"LLDCs (Landlocked developing countries)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",1.74941,
2000,1630,"SIDS (Small island developing States) (analytical)",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.92408,
2000,1630,"SIDS (Small island developing States) (analytical)",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.46628,
2000,1630,"SIDS (Small island developing States) (analytical)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",3.06562,
2000,1631,"SIDS: Atlantic and Indian Ocean",0000,"World",01,"Imports",ICT00,"Total ICT goods",5.02745,
2000,1631,"SIDS: Atlantic and Indian Ocean",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.15844,
2000,1631,"SIDS: Atlantic and Indian Ocean",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.74974,
2000,1632,"SIDS: Caribbean",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.92772,
2000,1632,"SIDS: Caribbean",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.55121,
2000,1632,"SIDS: Caribbean",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",3.56597,
2000,1633,"SIDS: Pacific",0000,"World",01,"Imports",ICT00,"Total ICT goods",0.77946,
2000,1633,"SIDS: Pacific",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.00916,
2000,1633,"SIDS: Pacific",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.79944,
2000,1640,"SIDS (Small island developing States) (UN-OHRLLS)",0000,"World",01,"Imports",ICT00,"Total ICT goods",34.433,
2000,1640,"SIDS (Small island developing States) (UN-OHRLLS)",0000,"World",02,"Exports",ICT00,"Total ICT goods",47.7671,
2000,1640,"SIDS (Small island developing States) (UN-OHRLLS)",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.95063,
2000,170,"Colombia",0000,"World",01,"Imports",ICT00,"Total ICT goods",9.00386,
2000,170,"Colombia",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.1174,
2000,174,"Comoros",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.39505,
2000,174,"Comoros",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.04571,
2000,175,"Mayotte",0000,"World",01,"Imports",ICT00,"Total ICT goods",3.23654,
2000,175,"Mayotte",0000,"World",02,"Exports",ICT00,"Total ICT goods",1.39346,
2000,188,"Costa Rica",0000,"World",01,"Imports",ICT00,"Total ICT goods",16.59877,
2000,188,"Costa Rica",0000,"World",02,"Exports",ICT00,"Total ICT goods",30.29172,
2000,191,"Croatia",0000,"World",01,"Imports",ICT00,"Total ICT goods",5.20234,
2000,191,"Croatia",0000,"World",02,"Exports",ICT00,"Total ICT goods",1.98589,
2000,192,"Cuba",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.44417,
2000,192,"Cuba",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.07691,
2000,196,"Cyprus",0000,"World",01,"Imports",ICT00,"Total ICT goods",6.9269,
2000,196,"Cyprus",0000,"World",02,"Exports",ICT00,"Total ICT goods",1.61081,
2000,196,"Cyprus",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.65042,
2000,196,"Cyprus",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",0.00349,
2000,203,"Czechia",0000,"World",01,"Imports",ICT00,"Total ICT goods",9.67183,
2000,203,"Czechia",0000,"World",02,"Exports",ICT00,"Total ICT goods",4.59157,
2000,204,"Benin",0000,"World",01,"Imports",ICT00,"Total ICT goods",2.8328,
2000,204,"Benin",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.01383,
2000,208,"Denmark",0000,"World",01,"Imports",ICT00,"Total ICT goods",12.42128,
2000,208,"Denmark",0000,"World",02,"Exports",ICT00,"Total ICT goods",7.20651,
2000,212,"Dominica",0000,"World",01,"Imports",ICT00,"Total ICT goods",6.70657,
2000,212,"Dominica",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.46824,
2000,212,"Dominica",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",9.43322,
2000,218,"Ecuador",0000,"World",01,"Imports",ICT00,"Total ICT goods",5.80618,
2000,218,"Ecuador",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.03129,
