Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,3335,"ECA: Non-oil Producing",0000,"World",02,"Exports",SICT,"ICT services",1839.255,,,,1.103254,,3.4947,
2005,3336,"ECA: Oil LDCs",0000,"World",02,"Exports",SICT,"ICT services",99.268,,,,0.059545,,11.5094,
2005,3337,"ECA: Oil producing economies",0000,"World",02,"Exports",SICT,"ICT services",370.797,,,,0.222418,,4.07017,
2005,3338,"ECA: Sahel",0000,"World",02,"Exports",SICT,"ICT services",302.83,,,,0.181649,,7.03084,
2005,3340,"ESCAP (Economic and Social Commission for Asia and the Pacific)",0000,"World",02,"Exports",SICT,"ICT services",29969.781,,,,17.976996,,5.22302,
2005,3353,"ESCAP: Countries with special needs",0000,"World",02,"Exports",SICT,"ICT services",429.695,"Estimated",,,0.257747,"Estimated",3.18497,"Estimated"
2005,3355,"UNECE (Economic Commission for Europe)",0000,"World",02,"Exports",SICT,"ICT services",129554.742,,,,77.711781,,6.62283,
2005,3360,"UNECE: Eastern Europe, Caucasus and Central Asia",0000,"World",02,"Exports",SICT,"ICT services",1552.384,,,,0.931178,,3.18692,
2005,3361,"UNECE: West Balkans",0000,"World",02,"Exports",SICT,"ICT services",582.55,,,,0.349435,,4.17964,
2005,3370,"ESCWA (Economic and Social Commission for Western Asia)",0000,"World",02,"Exports",SICT,"ICT services",3603.035,"Estimated",,,2.161235,"Estimated",4.88151,"Estimated"
2005,3371,"ESCWA: Arab countries",0000,"World",02,"Exports",SICT,"ICT services",3717.008,"Estimated",,,2.2296,"Estimated",4.84269,"Estimated"
2005,3372,"ESCWA: Mashreq",0000,"World",02,"Exports",SICT,"ICT services",837.912,,,,0.502611,,2.6677,
2005,3373,"ESCWA: Maghreb",0000,"World",02,"Exports",SICT,"ICT services",574.562,,,,0.344644,,3.55066,
2005,3374,"ESCWA: Arab LDCs",0000,"World",02,"Exports",SICT,"ICT services",76.426,"Estimated",,,0.045843,"Estimated",8.58932,"Estimated"
2005,3380,"CBD (Convention on Biological Diversity)",0000,"World",02,"Exports",SICT,"ICT services",165227.049,,,,99.109366,,6.34144,
2005,3381,"CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora)",0000,"World",02,"Exports",SICT,"ICT services",165137.185,,,,99.055462,,6.34265,
2005,3382,"Nagoya Protocol on Access and Benefit Sharing",0000,"World",02,"Exports",SICT,"ICT services",137610.648,,,,82.544015,,7.12367,
2005,3383,"LMMC (Like-Minded Megadiverse Countries)",0000,"World",02,"Exports",SICT,"ICT services",24235.898,,,,14.537598,,10.25328,
2005,3384,"BioTrade countries",0000,"World",02,"Exports",SICT,"ICT services",112715.479,,,,67.610961,,5.7977,
2005,340,"Honduras",0000,"World",01,"Imports",SICT,"ICT services",11.241,,,,,,1.20941,
2005,340,"Honduras",0000,"World",02,"Exports",SICT,"ICT services",133.024,,,,0.079793,,7.49919,
2005,3406,"Euro area",0000,"World",02,"Exports",SICT,"ICT services",78265.023,,,,46.946289,,8.53397,
